"","country","year","budget_tpt","tx_tpt"
"1","Afghanistan",2020,84000,30000
"2","Angola",2020,753253,65400
"3","Azerbaijan",2020,55000,5500
"4","Bangladesh",2020,1152000,96000
"5","Benin",2020,2734,1511
"6","Bhutan",2020,3300,255
"7","Botswana",2020,936000,72000
"8","Bulgaria",2020,22251,1600
"9","Burundi",2020,111442,28660
"10","Cabo Verde",2020,6000,200
"11","Central African Republic",2020,161400,16140
"12","Chad",2020,20629,2421
"13","Colombia",2020,44200,2600
"14","Democratic People's Republic of Korea",2020,5858548,396363
"15","Democratic Republic of the Congo",2020,128329,75634
"16","Dominican Republic",2020,722100,2407
"17","Ecuador",2020,16548,788
"18","El Salvador",2020,25550,1400
"19","Equatorial Guinea",2020,30000,2000
"20","Estonia",2020,4800,120
"21","Eswatini",2020,358734,21102
"22","Fiji",2020,9000,900
"23","Gabon",2020,4340,649
"24","Georgia",2020,77600,300
"25","Ghana",2020,333000,22200
"26","Guinea",2020,58800,9800
"27","Haiti",2020,22535,22535
"28","Honduras",2020,56940,780
"29","India",2020,20596100,1150000
"30","Indonesia",2020,1737206,49222
"31","Iraq",2020,112000,2800
"32","Jordan",2020,70000,700
"33","Kazakhstan",2020,124000,4000
"34","Kyrgyzstan",2020,9450,1350
"35","Lebanon",2020,48000,11365
"36","Lesotho",2020,694333,27900
"37","Liberia",2020,11460,2344
"38","Libya",2020,50000,150
"39","Malawi",2020,3328961,241637
"40","Malaysia",2020,4000,2000
"41","Mali",2020,107127,302
"42","Marshall Islands",2020,25200,600
"43","Micronesia (Federated States of)",2020,2400,80
"44","Mongolia",2020,95000,1900
"45","Morocco",2020,34506,1686
"46","Mozambique",2020,725251,29191
"47","Myanmar",2020,108864,3024
"48","Namibia",2020,472710,22510
"49","Nicaragua",2020,48160,6880
"50","Nigeria",2020,2459800,491960
"51","occupied Palestinian territory, including east Jerusalem",2020,20000,50
"52","Papua New Guinea",2020,56000,4000
"53","Paraguay",2020,7998,1000
"54","Peru",2020,787140,13119
"55","Philippines",2020,1010030,66399
"56","Republic of Moldova",2020,9167,3194
"57","Romania",2020,200000,20000
"58","Russian Federation",2020,8451581,438896
"59","Rwanda",2020,986748,70482
"60","Sao Tome and Principe",2020,33603,194
"61","Sierra Leone",2020,64000,16000
"62","Solomon Islands",2020,10000,1000
"63","Somalia",2020,15000,2400
"64","South Africa",2020,3600000,600000
"65","Sri Lanka",2020,70210,5015
"66","Sudan",2020,30000,7848
"67","Suriname",2020,6000,300
"68","Syrian Arab Republic",2020,68000,4000
"69","Tajikistan",2020,58652,4820
"70","Thailand",2020,88420,17684
"71","Togo",2020,2279,828
"72","Uganda",2020,2390908,407588
"73","United Republic of Tanzania",2020,5449521,495411
"74","Uruguay",2020,6000,2000
"75","Venezuela (Bolivarian Republic of)",2020,25000,2500
"76","Viet Nam",2020,79954,11422
"77","Zambia",2020,9129664,314816
"78","Zimbabwe",2020,2475377,403936
